"","observed","location_details","county","state","season","title","latitude","longitude","date","number","classification","geohash","temperature_high","temperature_mid","temperature_low","dew_point","humidity","cloud_cover","moon_phase","precip_intensity","precip_probability","precip_type","pressure","summary","conditions","uv_index","visibility","wind_bearing","wind_speed","word_count_of_observed"
"11","My wife and I were driving around and we were on a back road out in Wytheville, Virginia on queens knob road. It was dark out, not too late but it was dark and as we turned a corner my wife and I saw something in the middle of the road. It was about 4 foot tall and COVERED in fur. It was NOT a dog or any 4-legged animal. It was on 2 legs and it saw our car and ran and jumped over the fence towards the left like it was nothing. It pumped its arms as it ran and then jumped over the fence without using any effort at all. It then proceeded to run through the field with the sheep and we lost sight of it. My wife and I both talked about what we saw and we both had no doubts in our minds.","It is on Queen Knob road right beside of Hidden Valley Road","Wythe County","Virginia","Spring","Report 62744: Couple saw a juvenile Bigfoot jumping a fence.",37.0048,-81.11751,"4/10/2019",62744,"Class A","dnw6d0s094",70.3,58.2,44.2,35.5,44.1,8.2,0.19,0,0,NA,1011.1,"Clear conditions throughout the day.","Clear",8,9.9,310.5,11,149
"12","Laurie Durrell Duyck by way of Linda Durrell My two daughters and I were driving in to Yakima from our home in Naches. The road runs along the Naches River. Looking down at the river, as I always do to see deer or Bald Eagles, I saw a large dark figure at the edge of the water behind some bushes. Slamming on my brakes and backing up far enough to see the river again, the large figure was gone and no where to be seen. Of course my kids said, ""Sure Mom, Bigfoot...I don't think so"". About 2 weeks later I was driving on the same road coming home from Yakima in the evening. About a half mile from where I thought I had seen the other one, there were two standing side by side just looking down at the water. One was about a foot and a half taller than the other, both dark in color with very wide shoulders. And again by the time I stopped and backed up, there was nothing to be seen.","Along the Naches River","Yakima County","Washington","Summer","Report 1686: Woman sees bigfoot on two occasions along the same road",46.71444,-120.6694,"8/30/1996",1686,"Class A","c261y055r4",82.1,67.8,53.9,49,55.5,0,0.57,0,0,NA,1012.1,"Clear conditions throughout the day.","Clear",NA,9.9,282.8,18.3,177
"13","We showed up and set up camp around 5:00pm. Started the fire and around 9:00pm the noises followed shortly therafter. We heard the noise about a half mile away and it progressevly got louder. It was still getting darker when we heard the noises and we saw a bird flying overhead and swooping down and then the noise was heard. We are all pretty sure that the noise was not bear or elk. It sounded like a schreech howl grunt. We heard the noise again the next day around the same time.","Unmarked campsite on right side just past the turn for state campsites and boat launch.","Yakima County","Washington","Summer","Report 1462: Sound heard month earlier than another report in same area",46.87139,-121.2981,"6/13/2000",1462,"Class B","c23dxu9mtk",61.2,53.5,44.3,45,73.5,46.3,0.39,0.123,100,"['rain']",1024.2,"Partly cloudy throughout the day with rain.","Rain, Partially cloudy",NA,6.6,277.2,14.9,92
"14","June 11th. 6:00 pm. Witnessed large creature crossing road north of Glewood on Yakima Indian Reservation returning from the K 1400 raft launch on the Klickitat river. Headed from north to south possibly enroute to Bird Creek.",NA,"Yakima County","Washington","Summer","Report 3038: Evening sighting by motorist near Glenwood",46.0722,-121.3055,"6/11/2001",3038,"Class A","c21wpehn0b",62,56,50.1,45.7,68.8,77.8,0.69,0.012,100,"['rain']",1014.1,"Partly cloudy throughout the day with late afternoon rain.","Rain, Partially cloudy",NA,9.3,292.7,20.8,37
"15","A knocking noise sounded like a limb was being being used to hit a tree this noise was late at night after midnight it  woke me up was like 10 to 15 knocks and then was quiet for  what seemed like 20 mins and the knocking started again.   This went on just like the first time the knocking was even in its rythem and happened three more times that night.","Between the old burn and nasty flats along the creek  drainage.","Yakima County","Washington","Fall","Report 25999: Hunter reports hearing loud wood knocking NW of Tieton",46.52485,-121.2957,"10/5/2008",25999,"Class B","c238xve4vk",61.1,50.8,37.1,38.2,64.9,41.3,0.21,0,0,NA,1012.3,"Partly cloudy throughout the day.","Partially cloudy",NA,9.9,234.4,13.9,70
"16","Heard at least four howls in the morning between 4-5 am at silver beach camp grounds. The sounds were about a mile away but could here clearly in the morning. Thought was wild life or maybe a person. Then looked up a video on YouTube of people using a parabolic sound dish recording Sasquatch vocalizing sounds when I arrived back home. Was able to recognize the sounds from the video to what I had heard. It was a terrifying sound. The best way to describe it was a howl sound between a man and a ape. This is the link to the video of the sounds I heard:  Hopefully this video helps or explains my experience.","Silver beach near Rimrock lake","Yakima County","Washington","Summer","Report 63077: Camper hears Ohio howls at 4-5am near Rimrock Lake.",46.64558,-121.2323,"6/22/2019",63077,"Class B","c23c37964w",76.5,64.2,50.3,43.7,49.2,13.5,0.68,0,0,NA,1018.4,"Clear conditions throughout the day.","Clear",10,9.4,301.1,18.6,116
"17","I was riding in my mom's van, at 7:13 pm, as she drove past the recently built storage facility on Eagle Road, I looked out the right window and saw a black or brown (it was really dark outside and I could see it clearly so it had to be brown) human-like shape move around the far corner of the facility, and I didn't see it come around the other end. It wasnt a person because of its height. I dont know what I saw, but I'm certain it was not a person or a bear.","The storage building was on Eagle Road near the Newpage Mill in the Village of Biron","Wood County","Wisconsin","Winter","Report 34240: Passenger sees a large figure moving between buildings in Biron",44.42315,-89.7793,"2/18/2012",34240,"Class B","dpbhtnbxwe",33.2,26.4,17.6,14.8,62.9,25.2,0.89,0.017,100,"['rain', 'snow']",1022.9,"Partly cloudy throughout the day with early morning snow or rain.","Snow, Rain, Partially cloudy",NA,9.7,330.9,12.2,96
"18","I live in Biron, Wisconsin.  It was around 6-7 p.m. and my friends and I went out to the forest close to my house and I did a couple ""whoop"" calls. About 10 seconds after I did these calls, we heard a long howl that lasted about 5 seconds in length. We are convinced that this could possibly be a Bigfoot howl. As we were leaving, we heard three ""whoops"" in the same direction as we heard the howl. After we heard that, we all ran back to the house",NA,"Wood County","Wisconsin","Winter","Report 38662: Hikers make a vocalization and hear possible return vocalizations outside Biron",44.4308,-89.7715,"12/19/2012",38662,"Class B","dpbhv0qkhm",32.9,28.8,20.7,24.2,83,99.8,0.25,0,0,NA,1016.2,"Cloudy skies throughout the day.","Overcast",NA,7.9,203.8,5.8,90
"19","My incident was no visual in the sense of seeing bigfoot itself.  another family member of mine has seen him before.  So it has been common in the area.  My incident however was simply footprints in the snow.  I saw the footprints in the snow in the morning.  We had snow the night before.  The footprints started around a tree in front of our house.  I followed them and they led around the back of our house to another tree.  The footprints then circled around the area in front of the tree about 4 full circles and then stopped.  There were no footsteps leading from the circle to anywhere else, as well as no footsteps back to the front of the house.  I put a garbage can lid over one of the prints to preserve it until I could take a picture of it.  Unfortunately I never had a chance.",NA,"Rockland County","New York","Winter",NA,NA,NA,NA,5022,"Class B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150
"20","During bow season I and my brother were hunting. We got into the woods before daybreak. As daylight was approaching the woods never got active. No animals or birds were heard or were visible. About 2 hours into the hunt, all was quiet. It was then that I heard a very loud wood knock. Startled the hell out of me. It was northeast of me in the swamp. My first thought was, ""You can't be serious."" A wood knock here? I stayed put for another hour, hour and a half. Then made my way back to my vehicle. My brother was already there. His first words were, ""Did you hear that wood knock?"" We discussed it and came to the conclusion that something weird was going on. About 3 weeks later during gun season the same damn thing happened in the same area.","It was on Public Hunting grounds. In the swamp of the West River. [Investigator Notes: For Google Maps pin of location of witness when he heard the sound click ]","Ontario County","New York","Fall","Report 68896: Two hunters hear definite sasquatch wood knock on West River 2 miles SW of Middlesex",42.67993,-77.29334,"10/15/2020",68896,"Class B","dr94c1sswe",76.6,62.7,52,44.1,53,38.5,0.96,0.118,100,"['rain']",1009.8,"Becoming cloudy in the afternoon with late afternoon rain.","Rain, Partially cloudy",1,9.7,217.4,16.6,143
"21","while coon hunting a few years back me an my hunting partner heard a strange scream like we have never heard before we have heard bobcats,lynx almost anything that makes noise we have heard but on this one night we heard somthing neither of us can explain whatever it was. was about 75 yards away an within 5 seconds was about 200 yards away we dont know if there was more than one cause we never stuck around long enough to find out we high tailed it back to the truck we usually dont get scared were use to being out in the dark at night but whatever was makig that horrific noise was big ive heard some of the vocalizations you guys have recorded an the screams sound familiar to what we heard my buddy i dont think has told anyone about this an until know i havent either","off of upper holley rd in clarendon new york near rt 237 know there is a stone quarry there","Orleans County","New York","Summer",NA,NA,NA,NA,4799,"Class B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150
"22","I WAS CROSSING THE RAILROAD TRACKS HEADING SOUTH, AND WHEN I LOOKED TO THE WEST OF THE TRACKS WHILE CROSSING, THERE WAS SOMETHING THAT LOOKED LIKE A BIGFOOT CROSSING THE TRACKS HEADING NORTH. IT WAS TALL, HAD DARK HAIR (LOOKED KIND OF LONG OR SHAGGY)...ONE ARM SWAYING BACK AND FORTH AS IT WALKED. I LIKE FLEW HOME AND LOCKED MY DOOR...I WAS REALLY SCARED FOR THE FIRST TIME IN MY LIFE!!! TOLD MY HUSBAND ABOUT IT LATER THAT DAY, HE THOUGHT I WAS CRAZY.","FARMING AREA, FIELDS, WOODS AND A SMALL STREAM OR CREEK RUNS THROUGH UP THE ROAD FURTHER FROM THE SIGHTING. DIRECTIONS FROM BUFFALO...TAKE I-90 EAST TO PEMBROKE EXIT...GO NORTH ON RTE 77...GOES INTO RTE. 63 NORTH(ALABAMA)...TAKE 63 ALL THE WAY TO MEDINA,(ABOUT 30 MILES)TURN RIGHT ONTO RTE. 31A...ABOUT 5 MILES, HAMLET OF MILLVILLE, TURN LEFT ONTO DRESSER ROAD...WHICH RUNS BETWEEN THE TWO 31S'. TRACKS ARE ALMOST TO THE INTERSECTION FOR THE OTHER 31 (ABOUT 1 MILE).","Orleans County","New York","Spring","Report 18122: Morning sighting by motorist at railroad crossing near Median",43.22649,-78.3253,"4/15/1997",18122,"Class A","dr8mctjk81",54.7,42.3,29,25.8,55.5,16.2,0.27,0,0,NA,1024.8,"Clear conditions throughout the day.","Clear",NA,13.2,225.6,17,84
"23","Hi, in the end of Jan. 2003 my wife and I were spotlighting for deer and coyotes in Waterport NY.  We were driving my 4x4 truck through the apple orchards. The lane went through a large hedge row with a small stream in it. When we got to the other side we spot-lighted along the woods. About 75 to 100 yards there is an old spot they use to dump garbage.  There was something standing next to the old fridge. I have hunted these woods since I was a little boy and never had seen anything like this. Its belly was about the top of an almost 6 foot tall fridge. I know it was an animal because its eyes reflected in the spotlight. It looked almost like a bear standing on its hind feet but there is no bears in this part of the state. As we sat there trying to figure out what it was it started to turn and walk into the woods. Wince we didn't have any weapons on us we just got the hell out of there.","If you live around there you know right where that is","Orleans County","New York","Winter","Report 11688: Husband and wife see animal near garbage dump",43.34806,-78.23962,"1/15/2003",11688,"Class A","dr8qee78u8",21,14.9,11.4,7.2,71.4,91.5,0.41,0.021,100,"['snow']",1018.8,"Cloudy skies throughout the day with snow.","Snow, Overcast",NA,9,252.4,23.6,182
"24","I was having a small camp fire last night alone with my small dog who at the time was sleeping. First there was something moving through the wooded area to my left. Sounded like it was on two feet and moving towards some neighbors houses. Wasn’t alarmed by this, although it was dark and there was no flashlight the neighbors do walk through there from time to time. My dog wasn’t alerted at all. This part of the incident may be just coincidental but it’s what happened next that I’m curious about. About five to ten minutes later to the left of me way off in the distance there was an obvious wood knock then immediately to the right of me in the distance but in that direction is the Great Croton Swamp was a reply wood knock and then immediately after that another from the left. Then nothing. I’ve never heard anything like that before. It was about 11pm and the neighborhood was quiet and in my opinion it was an obvious call and response. Are wood knocks usually so instantaneous or do they usually have some time in between?","Across from Patterson Rec Center and access to the Great Croton Swamp","Putnam County","New York","Spring","Report 65469: Knocks heard from Great Croton Swamp south of Pawling",41.49887,-73.59659,"5/17/2020",65469,"Class B","dr7sj68s7n",67.5,59.2,51.7,45.4,61.3,66.2,0.83,0,0,NA,1024.2,"Partly cloudy throughout the day.","Partially cloudy",9,9.9,149.6,9.5,191
"25","I was fishing on a boat at Lake Kanawauke at 9:20pm on August 10, 2010. We where heading to dock the boat. We heard and seen a big splash we thought it was people. So we asked them to stop but nobody responded we proceeded to head into shore when we noticed another big splash. So then we stopped and we noticed a foul smell, like a wet animal. We then looked towards the bushes and a tall thin tree was shaking very fast back and forth. Then we noticed a big bolder thrown through the air toward us, it hit the water. That's when we realized what the splashing was.Then we noticed a man like figure with red beady eyes when we flashed the light at the bushes about 2 feet above the bushes was the eyes. So we started to bang the boat with the oars to scare away whatever this was.Then we heard a loud scream as we loaded the boat on the truck and left.","take the Palisades parkway to exit 16","Rockland County","New York","Summer","Report 28105: Two fishermen frightened after dark on Lake Kanawauke",41.23296,-74.11488,"8/6/2015",28105,"Class B","dr7696ppqh",79.9,69.2,56.5,53.9,60.3,7.8,0.75,0,0,NA,1014.4,"Clear conditions throughout the day.","Clear",NA,9.9,292.5,9.1,169
"26","Good Day, I am An Avid outdoorsman I have spent my entire Life in the woods Hunting, watching and Tracking Animals & Birds I am writing to you within Minutes of what I have just seen, While out in the Woodlot across from my Residence With My Chesapeake Retreiver we walked for some distance across a frozen Swamp and Ahead of us I seen bare ground so I followed my dog that way she was undisturbed in her activity like she is every day and in front of me I noticed a line of Human shaped Bare foot prints, and I asked myself who in the heck would be out on the ice in their bare feet this time of the year and upon closer inspection there were toes and one one foot a long misshapened toenail I have several pictures on my cell phone and have a knife lying next to the print for size verification, this discovery comes after taking my dog out to use go to the bathroom and hearing what sounded like a stick striking against a tree which I found odd also this i heard three times then it stopped.","It is across the road from my house","St. Lawrence County","New York","Spring","Report 25661: Wood knocks heard and tracks found near Canton",44.62185,-75.58825,"3/18/2009",25661,"Class B","drfjzgnm45",56.7,48.4,39.3,33.2,57.5,65.2,0.75,0.01,100,"['rain']",1013.5,"Partly cloudy throughout the day with rain in the morning and afternoon.","Rain, Partially cloudy",NA,10.5,222.7,12.5,195
"27","Original submission from Doug Pridgen. I have a tape you may want to see. It's that of a few friends drinking around a camp fire up state New York. The tape was shot in 1997 and not looked at until a year or two ago. My girlfriend was watching the TV while we were transfering the tape and said what is that in the tree? I had to rewind the tape ten or more times. I did not know what to make of it at first, but I knew it was not from the wilds of N.Y. state! At first, you think ""big monkey,"" but what the hell would a monkey be doing in the woods of N.Y.? The thing swings from one tree to the next and moves up and down it with ease! It hangs by one arm and pulls its self up and around in this tree at a speed you have to see. It looks to me to be about 5 to 5-1/2 feet in height, dark in color, very strong upper body and fast as hell in the trees.","Lake near Modena, New York.","Ulster County","New York","Spring","Report 7514: Video footage shot at dusk shows a primate in a tree in the background.",41.66955,-74.0863,"5/23/1997",7514,"Class B","dr7m41sn8p",67.2,58.4,46.9,37.8,47.1,43.7,0.55,0,0,NA,1018.4,"Partly cloudy throughout the day.","Partially cloudy",NA,25.5,328.3,16.6,184
"28","Myself and my soon to be fiancé were having a bonfire on her 87 acre beef farm and we were playing Native American music when we both heard tree knocks and vocal “whoops” coming from in front and behind us......we both feel very strongly that we do have a squatch on this property not 1 but possibly 3 She had an encounter when she was a much younger girl here on the farm and heard stories from her father about staying away from the back field at night.....there’s a lotta history here on this farm and as it is one of the last real farms left here in upstate New York Update: As I’m typing this at July 3 10:22am I just heard a very large tree knock followed by a sound of a crashing tree!!!",NA,"Ulster County","New York","Summer",NA,NA,NA,NA,59664,"Class B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136
"29","Each occurrence happened over a two week period. Between the hours of 10:30 P.M. TO 3:00 A.M. Lasting from one to four minutes. The First sounds were that of a whirling shrill whistling then a deep thumping and with the lung capacity of a horse being slaughtered... along with various chattering and screams To hear this once is to not to want to hear it again... But it kept coming back almost every night... Sounded about 200 feet away...looked out windows with small flash light but could not see anything. I Really did not want to see what it was, I was too terrified. Our cabin was located between route 9N and the lake [75 Feet from the lake] The mountain directly behind us was Bloomer Mountain. Sometimes the sounds started far away on top of the Mountain. Then within a minute the sound was coming from the road area. It may have been two calling to each other. We do not own this property any longer. This is one of the most beautiful areas of the world and not heavily populated.","Warren County, New York. Adirondack Mountains, Lake George, Sabbathday Point","Warren County","New York","Summer",NA,NA,NA,NA,1598,"Class B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182
"30","I did not see anything but I did hear in the space of about 1 hour consistent banging like wood hitting wood 3 strikes a pause and then again. This might not sound like anything but the time of the night it happened made me think it could be something out of the ordinary.The time was about 3 am.",NA,"Warren County","New York","Summer",NA,NA,NA,NA,6233,"Class B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59
"31","I was hiking alone 2 miles south of Sabbath Day point Lake George just off route 9N.  The date was March 31st 2006.  I was near a small body of water when I heard odd sounds about three hundred yards away.  The sounds were from a large creature.  They were ""sing song"" in pattern and unlike anything I have ever heard.  The creature appeared to by ""talking"" to itself as there was only one creature.  It did not sound angry and lasted for about two minutes.  The sound change in pitch and fluctuation.  I was not scared but did leave quickly.  I have since studied sounds of coyotes and found no similarties at all.  There were no yelps, barks or growls.  I can not duplicate the sounds.  It is like nothing I have ever heard in the woods or else where.  My wife and I went back two weeks later and found no signs of anything out of the norm.","(exact location withheld by request)","Warren County","New York","Spring","Report 15566: Possible vocalizations heard near Sabbath Day Point",43.66344,-73.56614,"3/31/2006",15566,"Class B","drg8muwvbx",73,52.7,26.7,32.5,51.9,2,0.07,0,0,NA,1018.5,"Clear conditions throughout the day.","Clear",NA,9.7,183,15.4,160
"32","while camping in the Lake Luzerne/4th lake area we heard several hoot-whoops on July 24th at approx 0130--200.prior to hearing these whoops, I heard something large walking approx 20-30 ft away from our camp. a distinctive ""cracking"" noise was made as if something very large either broke or stepped on a large branch these vocalizations were between 2, and possibly a 3rd animal. they were heard moving away from our area. I almost wonder if they were herding prey for hunting purposes. approx 02 hrs later I heard them again as they moved back into our area.I have heard these noises before and I immediately recognized the sounds as they are so unique.there were 7 people in our tent. 4 teenage girls (my wife myself and our 10 month old son.we all heard them and needless to say the girls and my wife were a little startled.",NA,"Warren County","New York","Summer","Report 26338: Possible vocalizations heard by campers In Lake Luzerne area",43.32,-73.81,"7/26/2009",26338,"Class B","drew2qjjq3",78.9,72.6,66.9,67,83.3,56,0.15,0.064,100,"['rain']",1010.4,"Clearing in the afternoon with rain clearing later.","Rain, Partially cloudy",NA,6.2,185.4,13.9,147
"33","Witness received a text message from a friend at 10pm. He needed vehicle assistance. As he was driving Eastbound, towards Vermont, on US 4, he noticed a ""Log"" on the side of the road where the white line is. Witness then noticed a second log next to the other. He then realized it was a black haired creature, approximately 6 foot tall, 2.5-3 foot wide shoulders. No neck, the hair from the head went down to the shoulders. He only saw the back of the creature, he did not see the face or front. As he approached, he saw it step over a side railing about 3 feet high with little effort and descend into the woods towards a high power line. He had to continue to assist his friend. The next day he contacted a local Whitehall Bigfoot researcher Paul Bartholomew whom visited the site with the witness and took plaster casts of the two footprints on the side of the road.","US Route 4, one mile West of the Big Apple Diner. Whitehall, NY.","Warren County","New York","Summer","Report 59838: Motorist sighting at night approx 2 miles from NY/VT state line outside Whitehall",43.55915,-73.34116,"8/7/2018",59838,"Class A","drezg1dw7n",84.7,74.7,68.1,70.1,86.3,35.3,0.87,0.371,100,"['rain']",1013.9,"Partly cloudy throughout the day with rain.","Rain, Partially cloudy",3,8.8,175.2,8.1,163
